COD_CUEN,1,2,3,4,5
010,1.17,0,0,0,0.00
023,5.92,0,0,0,0.00
024,15.22,0,0,0,0.00
030,19.69,0,0,0,0.00
038,3.61,0,0,0,0.00
043,0.54,0,0,0,0.00
045,0.00,0,0,0,3.52
047,0.00,0,0,0,5.40
051,0.00,0,0,0,4.39
052,0.00,0,0,0,3.21
054,0.00,0,0,0,4.87
057,0.00,0,0,0,4.73
060,0.00,0,0,0,3.43
071,0.00,0,0,0,4.24
073,0.00,0,0,0,3.59
081,0.00,0,0,0,3.85
083,0.00,0,0,0,3.08
091,0.00,0,0,0,0.17
094,0.00,0,0,0,1.80
101,0.00,0,0,0,2.31
103,0.00,0,0,0,3.00
104,0.00,0,0,0,4.90
105,0.00,0,0,0,7.02
107,0.00,0,0,0,8.65
108,0.00,0,0,0,10.95
110,0.00,0,0,0,5.65
112,0.00,0,0,0,2.74
111,0.00,0,0,0,6.99
113,0.00,0,0,0,4.75
114,0.00,0,0,0,3.81
115,0.00,0,0,0,2.92
118,0.00,0,0,0,1.14
116,0.00,0,0,0,3.54
119,0.00,0,0,0,5.16
121,0.00,0,0,0,0.27
120,0.00,0,0,0,1.76
122,0.00,0,0,0,6.74
123,0.00,0,0,0,2.13
124,0.00,0,0,0,5.38
125,0.00,0,0,0,1.88
128,0.00,0,0,0,3.77
127,0.00,0,0,0,2.48
117,0.00,0,0,0,2.67
126,0.00,0,0,0,4.01
106,0.00,0,0,0,11.56
129,0.52,0,0,0,0.00
